,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
0,79545.0,6.0,7.0,4.0,23087.0,1059033.5578701235,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
1,79249.0,6.0,7.0,3.0,40173.0,1505890.91484695,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
2,61287.0,6.0,9.0,5.0,36882.0,1058987.9878760849,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
3,63345.0,7.0,6.0,3.0,34310.0,1260616.8066294468,"USS Barnett
FPO AP 44820"
4,59982.0,5.0,8.0,4.0,26354.0,630943.4893385402,"USNS Raymond
FPO AE 09386"
5,80176.0,5.0,6.0,4.0,26748.0,1068138.0743935304,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
6,64698.0,6.0,8.0,3.0,60828.0,1502055.8173744078,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
7,78394.0,7.0,7.0,2.0,36516.0,1573936.5644777215,"972 Joyce Viaduct
Lake William, TN 17778-6483"
8,59928.0,5.0,6.0,2.0,29387.0,798869.5328331633,"USS Gilbert
FPO AA 20957"
9,81886.0,4.0,8.0,6.0,40150.0,1545154.8126419624,"Unit 9446 Box 0958
DPO AE 97025"
10,80527.0,8.0,5.0,4.0,47224.0,1707045.722158058,"6368 John Motorway Suite 700
Janetbury, NM 26854"
11,50594.0,4.0,7.0,4.0,34344.0,663732.3968963273,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
12,39034.0,8.0,7.0,3.0,39220.0,1042814.0978200928,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
13,73164.0,7.0,6.0,2.0,32326.0,1291331.5184858206,"829 Welch Track Apt. 992
North John, AR 26532-5136"
14,69391.0,5.0,8.0,4.0,35521.0,1402818.2101658515,"PSC 5330, Box 4420
APO AP 08302"
15,73092.0,5.0,9.0,4.0,23930.0,1306674.6599511993,"2278 Shannon View
North Carriemouth, NM 84617"
16,79707.0,5.0,8.0,3.0,39718.0,1556786.6001947748,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
17,61929.0,5.0,5.0,4.0,24596.0,528485.2467305964,"5498 Rachel Locks
New Gregoryshire, PW 54755"
18,63508.0,6.0,7.0,5.0,35720.0,1019425.9367578316,"Unit 7424 Box 2786
DPO AE 71255"
19,62085.0,6.0,7.0,5.0,44922.0,1030591.4292116085,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
20,86295.0,7.0,8.0,4.0,47561.0,2146925.339888662,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
21,60835.0,6.0,7.0,2.0,45575.0,929247.5995364,"USNS Brown
FPO AP 85833"
22,64491.0,4.0,5.0,4.0,40359.0,718887.2315009277,"95198 Ortiz Key
Port Sara, TN 24541-2855"
23,60697.0,6.0,7.0,6.0,28141.0,743999.8191601974,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
24,59749.0,5.0,8.0,4.0,27810.0,895737.1333835076,"24282 Paul Valley
West Perry, MI 03169-5806"
25,56974.0,8.0,7.0,4.0,40695.0,1453974.5059508719,"61938 Brady Falls
Lewisfort, DE 61227"
